aggrieve, aggrieved, aggrieved, aggrieving
aggroup, aggrouped, aggrouped, aggrouping
agitate, agitated, agitated, agitating
agnise, agnised, agnised, agnising
agnize, agnized, agnized, agnizing
agonise, agonised, agonised, agonising
agonize, agonized, agonized, agonizing
agree, agreed, agreed, agreing
aid, aided, aided, aiding
ail, ailed, ailed, ailing
aim, aimed, aimed, aiming
air, aired, aired, airing
air-condition, air-conditioned, air-conditioned, air-conditioning
air-cool, air-cooled, air-cooled, air-cooling
air-drop, air-droped, air-droped, air-droping
air-freight, air-freighted, air-freighted, air-freighting
air-ship, air-shiped, air-shiped, air-shiping
air-slake, air-slaked, air-slaked, air-slaking
airbrush, airbrushed, airbrushed, airbrushing
airfreight, airfreighted, airfreighted, airfreighting
airlift, airlifted, airlifted, airlifting
airmail, airmailed, airmailed, airmailing
airt, airted, airted, airting
alarm, alarmed, alarmed, alarming
alchemise, alchemised, alchemised, alchemising
alchemize, alchemized, alchemized, alchemizing
alcoholise, alcoholised, alcoholised, alcoholising
alcoholize, alcoholized, alcoholized, alcoholizing
alert, alerted, alerted, alerting
alibi, alibied, alibied, alibiing
alien, aliened, aliened, aliening
alienate, alienated, alienated, alienating
alight, alighted, alighted, alighting
align, aligned, aligned, aligning
aliment, alimented, alimented, alimenting
aline, alined, alined, alining
alkalify, alkalified, alkalified, alkalifying
alkalinise, alkalinised, alkalinised, alkalinising
alkalinize, alkalinized, alkalinized, alkalinizing
alkalise, alkalised, alkalised, alkalising
alkalize, alkalized, alkalized, alkalizing
allay, allaied, allaied, allaying
allege, alleged, alleged, alleging
allegorise, allegorised, allegorised, allegorising
allegorize, allegorized, allegorized, allegorizing
alleviate, alleviated, alleviated, alleviating
alligator, alligatored, alligatored, alligatoring
alliterate, alliterated, alliterated, alliterating
allocate, allocated, allocated, allocating
allot, alloted, alloted, alloting
allow, allowed, allowed, allowing
allowance, allowanced, allowanced, allowancing
alloy, alloied, alloied, alloying
allude, alluded, alluded, alluding
allure, allured, allured, alluring
ally, allied, allied, allying
alphabetise, alphabetised, alphabetised, alphabetising
alphabetize, alphabetized, alphabetized, alphabetizing
alter, altered, altered, altering
